Keywords,Frequency,Year
augmented reality,25,2008
wearable,32,2008
virtual reality,57,2008
mixed reality,9,2008
exoskeleton,4,2008
smart cloth,1,2008
virtual reality,49,2009
digital ring,1,2009
wearable,33,2009
augmented reality,33,2009
mixed reality,14,2009
exoskeleton,4,2009
smart cloth,1,2009
smart suit,1,2009
augmented reality,40,2010
wearable,49,2010
virtual reality,52,2010
mixed reality,11,2010
exoskeleton,2,2010
virtual reality,48,2011
wearable,50,2011
augmented reality,61,2011
mixed reality,12,2011
exoskeleton,8,2011
smart cloth,2,2011
augmented reality,46,2012
virtual reality,57,2012
wearable,54,2012
mixed reality,9,2012
exoskeleton,11,2012
wearable,53,2013
augmented reality,78,2013
exoskeleton,15,2013
virtual reality,60,2013
mixed reality,15,2013
fitness tracker,1,2013
smart glass,1,2013
smart cloth,2,2013
wearable,115,2014
augmented reality,92,2014
virtual reality,77,2014
exoskeleton,25,2014
mixed reality,11,2014
smart watch,1,2014
augmented reality,124,2015
virtual reality,73,2015
wearable,175,2015
exoskeleton,22,2015
mixed reality,7,2015
smart cloth,1,2015
smart bracelet,1,2015
smart band,1,2015
smart watch,2,2015
smart glass,1,2015
virtual reality,94,2016
wearable,225,2016
augmented reality,113,2016
smart glass,9,2016
exoskeleton,28,2016
mixed reality,10,2016
fitness tracker,2,2016
smart cloth,2,2016
smart watch,2,2016
augmented reality,149,2017
wearable,309,2017
virtual reality,139,2017
exoskeleton,58,2017
mixed reality,13,2017
smart watch,5,2017
smart glass,8,2017
fitness tracker,2,2017
edible robot,1,2017
smart band,1,2017
wearable,125,2018
augmented reality,41,2018
mixed reality,5,2018
exoskeleton,31,2018
virtual reality,54,2018
smart band,1,2018
augmented reality,138,2019
virtual reality,208,2019
wearable,276,2019
smart watch,3,2019
exoskeleton,63,2019
mixed reality,17,2019
smart glass,2,2019
smart ring,2,2019
digital ring,1,2019
fitness tracker,2,2019
wearable,6,2020
virtual reality,1,2020